file_name	seed	formula_x	formula_y
2020-12-12-20-26_seed_5766.png	5766	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-26_seed_6893.png	6893	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-27_seed_4131.png	4131	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-27_seed_6260.png	6260	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-30_seed_603.png	603	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^4 - tan(x_i^2)
2020-12-12-20-31_seed_7488.png	7488	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^4 - tan(x_i^2)
2020-12-12-20-32_seed_3396.png	3396	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^2)
2020-12-12-20-35_seed_8303.png	8303	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-35_seed_4733.png	4733	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-36_seed_1832.png	1832	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-36_seed_1584.png	1584	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-37_seed_4725.png	4725	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-37_seed_9881.png	9881	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-38_seed_4184.png	4184	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-38_seed_5308.png	5308	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-39_seed_5717.png	5717	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
2020-12-12-20-39_seed_9704.png	9704	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 3) * y_i^2 - tan(x_i^4)
